Time,Voltage,gNA,gK,gL
9.99999999999998,-61.95610494634981,8.460538772823665e-08,1.3298720013266713e-07,0.0187
10.09999999999998,-61.88381395666901,8.808675576480162e-08,1.3795570747722666e-07,0.0187
10.19999999999998,-61.81165799680489,9.170325344385162e-08,1.4306784800093623e-07,0.0187
10.29999999999998,-61.73963681332093,9.545978111475405e-08,1.4832689233235602e-07,0.0187
10.399999999999979,-61.66775015320779,9.936140282882202e-08,1.5373617760266238e-07,0.0187
10.499999999999979,-61.5959977638809,1.0341335126636098e-07,1.592991087238197e-07,0.0187
10.599999999999978,-61.524379393177924,1.076210327920865e-07,1.6501915968382703e-07,0.0187
10.699999999999978,-61.452894789356286,1.1199003264157089e-07,1.7089987485926876e-07,0.0187
10.799999999999978,-61.381543701090564,1.165261202414051e-07,1.769448703453951e-07,0.0187
10.899999999999977,-61.31032587746988,1.2123525466579684e-07,1.8315783530396218e-07,0.0187
10.999999999999977,-61.239241067995195,1.2612359023235789e-07,1.8954253332906258e-07,0.0187
11.099999999999977,-61.168289022576616,1.3119748223986195e-07,1.961028038311738e-07,0.0187
11.199999999999976,-61.09746949153057,1.3646349285078645e-07,2.0284256343965914e-07,0.0187
11.299999999999976,-61.02678222557701,1.4192839712148264e-07,2.0976580742394832e-07,0.0187
11.399999999999975,-60.95622697583649,1.4759918918284595e-07,2.1687661113363446e-07,0.0187
11.499999999999975,-60.88580349382724,1.5348308857439049e-07,2.2417913145771533e-07,0.0187
11.599999999999975,-60.81551153146212,1.5958754673465847e-07,2.3167760830321365e-07,0.0187
11.699999999999974,-60.745350841045564,1.6592025365092114e-07,2.393763660934083e-07,0.0187
11.799999999999974,-60.675321175270454,1.7248914467116384e-07,2.472798152859096e-07,0.0187
11.899999999999974,-60.605422287214935,1.7930240748136027e-07,2.5539245391081063e-07,0.0187
11.999999999999973,-60.535653930339116,1.863684892510826e-07,2.637188691291478e-07,0.0187
12.099999999999973,-60.46601585848177,1.93696103950509e-07,2.722637388119035e-07,0.0187
12.199999999999973,-60.396507825856915,2.0129423984192012e-07,2.8103183313978246e-07,0.0187
12.299999999999972,-60.32712958705038,2.0917216714879578e-07,2.900280162239948e-07,0.0187
12.399999999999972,-60.25788089701621,2.173394459056509e-07,2.992572477482783e-07,0.0187
12.499999999999972,-60.1887615110731,2.2580593399177126e-07,3.0872458463238975e-07,0.0187
12.599999999999971,-60.11977118490071,2.3458179535202446e-07,3.1843518271729903e-07,0.0187
12.69999999999997,-60.050909674535895,2.436775084079528e-07,3.2839429847231565e-07,0.0187
12.79999999999997,-59.982176736368814,2.53103874662365e-07,3.386072907243785e-07,0.0187
12.89999999999997,-59.91357212713907,2.628720275006735e-07,3.490796224097395e-07,0.0187
12.99999999999997,-59.84509560393167,2.7299344119222576e-07,3.598168623482698e-07,0.0187
13.09999999999997,-59.77674692417294,2.8347994009490924e-07,3.708246870406208e-07,0.0187
13.199999999999969,-59.70852584562638,2.9434370806631943e-07,3.8210888248846235e-07,0.0187
13.299999999999969,-59.64043212638836,3.0559729808479353e-07,3.936753460380339e-07,0.0187
13.399999999999968,-59.57246552488378,3.172536420836317e-07,4.055300882472309e-07,0.0187
13.499999999999968,-59.50462579986164,3.293260610018328e-07,4.1767923477645387e-07,0.0187
13.599999999999968,-59.43691271039048,3.4182827505468956e-07,4.30129028303448e-07,0.0187
13.699999999999967,-59.36932601585377,3.5477441422759253e-07,4.428858304623586e-07,0.0187
13.799999999999967,-59.30186547594515,3.681790289964043e-07,4.559561238072252e-07,0.0187
13.899999999999967,-59.234530850663624,3.820571012777778e-07,4.693465138001398e-07,0.0187
13.999999999999966,-59.16732190030863,3.964240556127833e-07,4.830637308242939e-07,0.0187
14.099999999999966,-59.10023838547498,4.1129577058723327e-07,4.971146322221332e-07,0.0187
14.199999999999966,-59.03328006704774,4.266885904920891e-07,5.115062043588465e-07,0.0187
14.299999999999965,-58.96644670619695,4.4261933722733084e-07,5.262455647114046e-07,0.0187
14.399999999999965,-58.8997380643723,4.5910532245268343e-07,5.413399639833752e-07,0.0187
14.499999999999964,-58.83315390329762,4.7616435998858166e-07,5.56796788245726e-07,0.0187
14.599999999999964,-58.76669398496533,4.938147784707719e-07,5.726235611038431e-07,0.0187
